fid,adm3,adm3_code,adm2,adm2_code,adm1,adm1_code,pop,hh,area,health,schools,prov_elec,prov_poverty
"1",7 De Abril,MZ070901,Meconta,MZ0709,Nampula,MZ07,"45986","9197","553","1","0","23","45"
"2",Alto Changane,MZ020201,Chibuto,MZ0202,Gaza,MZ02,"30496","6099","2602","1","0","46","35"
"3",Alto Ligonha,MZ110501,Gile,MZ1105,Zambezia,MZ11,"71723","14345","3901","2","0","13","53"
"4",Alto Molocue,MZ110101,Alto Molocue,MZ1101,Zambezia,MZ11,"163298","32660","3739","11","0","13","53"
"5",Alua,MZ070301,Erati,MZ0703,Nampula,MZ07,"111155","22231","1913","5","0","23","45"
"6",Amatongas,MZ040301,Gondola,MZ0403,Manica,MZ04,"58426","11685","838","4","1","22","33"
"7",Anchilo,MZ072201,Rapale,MZ0722,Nampula,MZ07,"148964","29793","1317","7","11","23","45"
"8",Ancuabe,MZ010101,Ancuabe,MZ0101,Cabo Delgado,MZ01,"45376","9075","2090","2","0","15","54"
"9",Angoche,MZ070101,Angoche,MZ0701,Nampula,MZ07,"66884","13377","474","6","9","23","45"
"10",Aube,MZ070102,Angoche,MZ0701,Nampula,MZ07,"145779","29156","552","4","0","23","45"
"11",Bajone,MZ111501,Mocubela,MZ1115,Zambezia,MZ11,"91280","18256","1348","5","0","13","53"
"12",Balama,MZ010201,Balama,MZ0102,Cabo Delgado,MZ01,"97307","19461","971","5","0","15","54"
"13",Bazaruto,MZ030601,Inhassoro,MZ0306,Inhambane,MZ03,"3041","608","100","1","0","20","36"
"14",Bazua,MZ041101,Tambara,MZ0411,Manica,MZ04,"13742","2748","1980","1","0","22","33"
"15",Bela Vista,MZ050601,Matutuine,MZ0506,Maputo,MZ05,"17925","3585","2625","6","0","96","14"
"16",Bilibiza,MZ011801,Quissanga,MZ0118,Cabo Delgado,MZ01,"15787","3157","787","3","0","15","54"
"17",Boane,MZ050101,Boane,MZ0501,Maputo,MZ05,"58071","11614","599","10","1","96","14"
"18",Boila,MZ070103,Angoche,MZ0701,Nampula,MZ07,"97682","19536","1253","5","0","23","45"
"19",Buzi,MZ090101,Buzi,MZ0901,Sofala,MZ09,"104484","20897","3418","6","22","38","40"
"20",Cafumpe,MZ040302,Gondola,MZ0403,Manica,MZ04,"61095","12219","775","0","0","22","33"
"21",Caia,MZ090201,Caia,MZ0902,Sofala,MZ09,"87781","17556","2014","12","0","38","40"
"22",Calanga,MZ050401,Manhiça,MZ0504,Maputo,MZ05,"7210","1442","589","1","0","96","14"
"23",Calipo,MZ071301,Mogovolas,MZ0713,Nampula,MZ07,"87790","17558","1085","1","0","23","45"
"24",Campo,MZ111701,Mopeia,MZ1117,Zambezia,MZ11,"67679","13536","3668","1","0","13","53"
"25",Canicado,MZ020801,Guija,MZ0208,Gaza,MZ02,"11781","2356","29","1","0","46","35"
"26",Canxixe,MZ091001,Maringue,MZ0910,Sofala,MZ09,"26460","5292","1684","2","0","38","40"
"27",Catandica,MZ040101,Barue,MZ0401,Manica,MZ04,"218702","43740","2955","8","4","22","33"
"28",Catuane,MZ050602,Matutuine,MZ0506,Maputo,MZ05,"5242","1048","1259","3","0","96","14"
"29",Chai,MZ010601,Macomia,MZ0106,Cabo Delgado,MZ01,"14532","2906","1054","9","9","15","54"
"30",Chaimite,MZ020202,Chibuto,MZ0202,Gaza,MZ02,"51898","10380","522","1","0","46","35"
"31",Chalaua,MZ071401,Moma,MZ0714,Nampula,MZ07,"97122","19424","1400","1","0","23","45"
"32",Changalane,MZ050801,Namaacha,MZ0508,Maputo,MZ05,"16714","3343","779","4","0","96","14"
"33",Changanine,MZ020203,Chibuto,MZ0202,Gaza,MZ02,"1718","344","1389","1","0","46","35"
